latitude,longitude,brightness
-21.8966,119.535,384.5
-12.8314,130.5034,384.5
-15.2131,130.3768,384.4
-16.2036,136.3845,384.4
-12.4889,141.9303,384.4
-28.9088,152.3369,384.4
-26.1927,146.6512,384.4
-30.1362,152.3788,384.3
-14.1738,130.6399,384.2
-15.7219,130.6292,384.2
-14.2239,130.7098,384.1
-11.3366,130.9166,384
-16.9931,142.5845,384
-17.047,142.5917,384
-15.6647,142.2152,384
-25.9764,125.3756,384
-14.0193,130.009,384
-12.993,130.3879,383.9
-14.755,126.4374,383.8
-16.2026,136.159,383.8
-22.6824,150.5902,383.7
-29.7729,152.0571,383.7
-12.8269,131.6218,383.6
-28.9855,152.5335,383.6
-14.6186,141.629,383.6
-15.4457,130.8173,383.5
-12.7895,131.6441,383.5
-17.4064,145.1394,383.5
-14.7486,126.4325,383.5
-29.8416,152.1487,383.5
-31.6751,146.5759,383.4
-17.1203,143.1213,383.4
-29.2783,149.3891,383.4
-13.2534,130.8705,383.3
-12.4849,133.0229,383.3
-14.0665,129.8112,383.3
-25.9421,150.8913,383.2
-13.1532,130.849,383.2
-28.8151,151.8575,383.2
-29.7743,152.1463,383.2
-14.3274,135.4496,383.2
-12.7199,141.8626,383.1
-16.2552,136.1768,383.1
-33.8977,115.6687,383.1
-15.6722,135.0357,383.1
-16.4065,123.9338,383
-13.8415,134.2478,382.9
-15.4338,130.8188,382.8
-32.1959,146.7316,382.8
-16.1178,136.8501,382.8
-29.7975,152.058,382.8
-21.7072,134.5181,382.8
-13.0259,141.7506,382.8
-13.205,133.8112,382.7
-13.6033,130.0628,382.6
-33.7251,121.4929,382.5
-21.8074,134.5734,382.5
-13.2238,130.8101,382.4
-14.4128,126.7225,382.4
-30.8018,152.1074,382.4
-21.9191,134.5922,382.4
-13.3654,132.1254,382.4
-14.1901,130.6676,382.3
-16.3526,137.0034,382.3
-12.7567,130.9922,382.3
-15.6268,131.1966,382.3
-15.5421,134.6474,382.3
-15.5901,130.3969,382.2
-17.0922,142.6282,382.2
-26.7916,147.4326,382.2
-25.9281,150.8568,382.2
-29.5307,153.3283,382.2
-22.6341,150.6476,382.2
-21.7262,134.6379,382.2
-21.8769,134.6432,382.2
-11.7793,142.2334,382.2
-17.0719,143.3124,382.2
-25.5923,152.8318,382.1
-13.5885,130.3054,382.1
-11.0272,142.5595,382.1
-13.0177,130.3732,382.1
-13.3687,132.2027,382.1
-15.5918,134.6114,382.1
-14.4212,132.3024,382
-29.8671,152.1875,382
-15.5856,134.7281,382
-13.315,141.9745,382
-11.4276,130.7777,381.9
-16.6026,142.0887,381.9
-19.1783,138.3064,381.9
-29.0815,152.4255,381.9
-14.6971,126.5904,381.9
-29.7599,152.0981,381.9
-21.9021,134.632,381.9
-29.0012,152.3394,381.8
-12.268,132.9743,381.8
-17.0017,143.2315,381.8
-12.0449,142.738,381.7
-26.3727,150.6945,381.6
-25.9798,125.3706,381.6
-30.2825,115.1075,381.6
-28.8954,152.2978,381.6
-16.8239,123.1528,381.5
-30.1606,152.1751,381.5
-25.9506,150.9238,381.5
-14.1729,129.8402,381.5
-29.8103,152.1422,381.5
-28.9198,152.2566,381.5
-15.6532,131.2104,381.4
-13.3327,130.9743,381.3
-29.0791,152.49,381.3
-14.0635,129.8676,381.3
-26.8216,147.7767,381.3
-29.3258,153.0441,381.2
-13.8308,129.8924,381.2
-16.1349,144.2821,381.2
-14.5028,144.2923,381.2
-15.645,131.2419,381.2
-15.5989,131.2625,381.2
-15.4468,131.0047,381.1
-28.4343,122.6263,381.1
-14.0473,129.764,381
-30.1621,152.2369,381
-28.6238,151.9055,381
-29.0298,152.4959,381
-12.9886,134.8007,381
-21.7063,119.0642,380.9
-29.021,152.5151,380.9
-12.9968,130.2646,380.9
-17.0458,125.1813,380.9
-13.3606,132.3009,380.9
-13.4881,130.3064,380.8
-13.8807,129.8674,380.8
-25.9287,150.8894,380.8
-21.8122,134.6786,380.8
-14.7782,141.699,380.8
-16.458,136.3547,380.7
-27.6101,149.0034,380.7
-18.7638,126.5864,380.6
-20.8188,119.4181,380.3
-27.2463,152.4274,380.3
-15.6147,134.5795,380.3
-13.1425,130.7524,380.2
-13.5485,132.1502,380.2
-14.3571,133.0288,380.2
-16.7076,142.027,380.1
-12.4366,133.8663,380.1
-13.1909,142.8652,380.1
-14.1571,129.8554,380.1
-28.8995,152.3219,380.1
-16.8297,122.9551,380.1
-15.9736,144.6254,380.1
-12.8166,131.6235,380
-15.3705,134.1959,380
-29.7661,152.0703,380
-11.7949,132.7486,379.9
-14.1551,129.8677,379.9
-21.8996,119.54,379.9
-21.6785,134.5346,379.9
-21.7177,134.62,379.9
-12.8087,130.5301,379.8
-28.3864,122.5417,379.8
-14.3784,126.968,379.8
-17.1005,143.334,379.8
-29.9237,152.85,379.7
-12.2465,133.5193,379.7
-30.0636,152.4168,379.7
-29.8182,152.1271,379.6
-28.9202,152.3452,379.6
-15.912,144.5693,379.6
-15.4375,130.8001,379.5
-27.5144,150.7997,379.5
-26.9527,153.1394,379.5
-13.6012,130.0758,379.5
-25.5173,150.4657,379.5
-29.0769,152.6261,379.4
-26.3417,130.008,379.4
-11.7027,130.5479,379.4
-21.7146,134.508,379.4
-33.5935,115.7588,379.4
-17.0022,142.8761,379.3
-12.9374,130.7784,379.3
-12.2497,133.0603,379.2
-29.5324,153.3173,379.2
-29.0748,152.4566,379.2
-29.0458,152.5312,379.2
-30.0702,152.3821,379.2
-28.4457,122.596,379.2
-14.8068,130.7917,379.1
-27.6899,149.9371,379.1
-17.0194,143.002,379.1
-21.815,134.5978,379.1
-27.6103,148.9967,379.1
-15.6733,135.0285,379.1
-14.6489,131.5591,379
-30.1991,152.5063,379
-28.993,152.5206,379
-17.0809,142.6191,378.9
-29.83,152.0721,378.9
-12.9297,130.7894,378.9
-13.0219,130.3302,378.8
-11.3276,130.9153,378.7
-21.7962,134.5711,378.6
-12.6963,131.7603,378.5
-18.7655,126.5757,378.5
-13.8911,129.8595,378.5
-28.9481,152.3865,378.5
-28.9143,152.4154,378.5
-12.2015,132.8345,378.5
-14.3261,135.4588,378.5
-28.2927,128.5328,378.5
-16.4105,136.3849,378.4
-28.6223,151.9157,378.4
-29.0334,152.2474,378.4
-11.3177,132.0316,378.4
-14.7672,142.0961,378.3
-22.7237,150.5745,378.3
-16.4095,136.3926,378.3
-17.4051,145.1488,378.3
-15.6453,131.1992,378.3
-13.346,132.3276,378.3
-12.5382,131.3321,378.2
-12.2689,134.56,378.2
-14.6154,126.5931,378.2
-31.7594,151.8959,378.2
-30.0808,152.3474,378.2
-14.1202,129.8914,378.2
-21.8882,134.6455,378.2
-27.0471,126.4415,378.1
-21.6387,134.5587,378.1
-29.7715,152.1274,378.1
-12.7304,132.939,378
-15.4473,135.5427,378
-12.6229,130.7643,378
-15.5842,134.7464,378
-15.2041,130.3968,377.9
-16.8357,122.9227,377.9
-15.6254,131.2063,377.9
-29.1467,152.847,377.8
-12.6865,142.3119,377.8
-13.4256,132.393,377.8
-14.7716,141.7027,377.8
-28.3083,128.4536,377.8
-12.7835,132.9622,377.7
-32.1276,146.8437,377.7
-29.0071,152.362,377.7
-14.3408,129.9245,377.7
-13.4113,131.1331,377.7
-17.9345,122.229,377.7
-33.3479,122.9037,377.7
-13.4166,132.3917,377.7
-15.7637,137.0728,377.6
-15.0727,129.7978,377.6
-13.3424,130.9924,377.6
-22.5763,150.6754,377.6
-21.8936,134.614,377.6
-15.6123,131.4678,377.5
-16.1386,136.8663,377.5
-14.6046,126.5947,377.4
-27.3308,148.4531,377.4
-12.7134,131.7473,377.3
-12.2407,133.059,377.3
-21.1184,118.8349,377.3
-12.8405,130.6198,377.3
-12.9302,141.6682,377.2
-13.6943,131.0181,377.1
-12.1647,141.8081,377.1
-25.9175,150.8649,377.1
-12.3824,136.6007,377.1
-16.4833,136.7997,377
-28.6234,151.9319,377
-21.8684,134.6251,377
-30.115,152.3961,376.9
-12.6544,132.9236,376.8
-14.4648,133.7883,376.8
-12.8882,130.5472,376.8
-30.7377,152.0631,376.8
-14.0271,130.0039,376.8
-14.563,134.498,376.8
-15.5063,126.9318,376.8
-15.52,134.7279,376.8
-16.8135,142.2441,376.7
-16.9935,142.4977,376.7
-29.1805,152.9181,376.6
-16.7453,142.0219,376.6
-16.9487,142.383,376.6
-28.9834,152.5518,376.6
-28.9729,152.5165,376.6
-30.0798,152.1866,376.6
-12.6493,142.5029,376.6
-12.589,132.7858,376.5
-12.7902,130.5274,376.5
-21.9135,134.6236,376.5
-12.0573,142.7157,376.5
-29.9253,152.8394,376.4
-16.9568,142.8582,376.4
-16.526,139.3513,376.4
-13.7528,130.3411,376.4
-42.5095,147.8857,376.4
-15.0655,133.2214,376.4
-12.6526,131.2731,376.3
-16.9394,142.3103,376.3
-12.5585,132.857,376.3
-14.0717,130.851,376.3
-16.3439,135.9882,376.3
-12.8042,131.6133,376.2
-12.2394,133.0682,376.2
-22.609,150.6512,376.2
-13.3634,132.0858,376.2
-36.361,149.4281,376.1
-28.6211,151.9452,376.1
-12.6331,141.8918,376.1
-30.215,152.6496,376
-12.8074,130.5399,376
-16.3153,133.6841,376
-11.7269,142.3167,376
-17.0404,143.2795,376
-14.7253,131.4655,375.9
-17.0185,143.0066,375.9
-12.5966,131.1589,375.9
-15.9722,144.6349,375.9
-14.6909,131.6564,375.8
-13.3288,130.9688,375.8
-17.2184,145.0441,375.8
-17.2272,145.0416,375.8
-28.4191,122.584,375.8
-25.5909,152.8419,375.7
-13.6121,130.9514,375.7
-12.7595,132.0203,375.7
-22.6673,150.6823,375.7
-29.899,152.149,375.7
-13.3495,132.3042,375.7
-15.6321,134.5708,375.7
-13.2382,131.0423,375.6
-12.4909,133.8351,375.6
-14.7572,126.4545,375.6
-30.7478,152.0647,375.6
-14.3687,126.8939,375.6
-33.6361,122.857,375.5
-15.1861,130.4364,375.5
-15.3312,130.22,375.5
-14.2872,135.5416,375.5
-27.2447,152.4379,375.5
-16.095,126.0959,375.4
-12.7339,132.944,375.4
