,,Tmin,Rainfall,RH,Solar,Wind,Tmax,Discharge
364,30,1.7,0,0.18,13.37,3.28,13.9,118.7
365,31,2.2,0,0.45,12.89,2.37,15.6,116.2
366,1,2.2,0,0.31,13.87,4.53,14.4,116.2
367,2,3.3,0,0.24,14.5,3.81,16.1,115.3
368,3,3.3,0,0.52,14.23,2.46,17.8,113.4
369,4,2.8,0,0.78,2.22,3.38,17.2,113.4
370,5,5.6,0,0.45,14.4,4.07,20,113.1
371,6,6.7,0,0.25,13.44,3.61,23.3,110.5
372,7,6.1,0,0.27,14.51,3.5,22.8,110.5
373,8,6.7,0.5,0.39,14.5,3.48,21.7,110.5
374,9,5.6,0,0.49,14.66,4.68,20,110.5
375,10,6.7,0,0.43,14.86,4.65,20,110.5
376,11,5.6,9,0.41,13.25,4.04,17.8,110.5
377,12,1.1,25.5,0.44,14.78,4.15,6.7,110.5
378,13,3.3,0,0.5,14.31,2.95,12.2,110.5
379,14,5.6,0,0.46,14.98,3.74,17.8,110.5
380,15,6.1,0,0.49,14.99,3.89,18.9,110.5
381,16,4.4,0,0.49,14.03,3.43,21.1,110.5
382,17,4.4,0,0.67,12.31,2.81,16.7,110.5
383,18,5,0,0.71,6.43,3.41,20,110.5
384,19,6.1,0,0.61,11.63,3.65,16.7,110.5
385,20,5,0,0.89,1.9,2.15,20,110.5
386,21,6.7,0,0.93,1.62,2.12,21.1,110.2
387,22,5.6,0,0.92,1.22,2.73,18.3,107.7
388,23,6.7,0,0.83,2.32,3.21,18.9,107.7
389,24,6.1,0,0.49,16.39,3.72,20,107.7
390,25,8.9,0,0.4,16.01,3.88,16.7,107.7
391,26,9.4,0,0.39,16.79,3.95,20.6,107.7
392,27,10,16.5,0.43,15.91,4.01,17.8,107.7
393,28,6.7,30.5,0.52,14.52,3.54,11.1,108
394,29,7.8,18.5,0.56,14.4,3.27,10,112.2
395,30,6.7,23.5,0.9,1.46,2.36,9.4,116.8
396,31,5.6,30.5,0.85,5.09,3.47,8.9,125
397,1,6.7,0.5,0.7,17.77,4.96,18.3,130.6
398,2,6.1,0,0.51,17.84,5.05,20,117.9
399,3,5.6,0,0.42,18.11,4.36,17.2,115.9
400,4,4.4,0,0.34,18.24,4.43,16.7,113.1
401,5,7.8,0,0.74,12.38,2.55,17.2,110.5
402,6,6.7,0,0.79,7.21,2.63,18.9,110.5
403,7,4.4,25.5,0.49,18.52,4.83,13.3,111.1
404,8,4.4,2.5,0.36,18.87,4.49,13.9,116.2
405,9,3.9,0,0.34,19.06,4.3,17.2,116
406,10,5.6,0,0.4,17.67,4.31,17.8,113.4
407,11,4.4,0,0.3,19.14,3.77,20,113.4
408,12,3.9,0,0.47,13.18,2.72,19.4,113.4
409,13,3.3,20.5,0.43,17.11,3.92,20,113.4
410,14,6.1,1.5,0.37,17.39,4.1,13.3,115.1
411,15,6.7,0,0.33,19.11,4.2,19.4,113.1
412,16,5.6,0,0.34,19.04,3.55,21.1,110.5
413,17,6.7,0,0.31,19.84,5.04,21.7,110.5
414,18,3.3,0,0.4,19.77,3.48,17.8,110.5
415,19,4.4,0,0.43,19.4,3.23,18.9,110.5
416,20,5,0,0.29,19.78,4.06,18.3,110.5
417,21,4.4,0.5,0.5,16.13,3.39,17.8,110.5
418,22,4.4,0,0.41,19.35,3.58,18.9,110.5
419,23,5,0,0.24,20.74,4.13,18.3,110.2
420,24,4.4,0,0.13,21.34,4.11,17.8,107.7
421,25,6.7,0,0.17,21.27,4.11,21.1,107.7
422,26,5.6,0,0.27,21.16,3.36,23.3,107.7
423,27,7.2,0,0.39,20.37,3.05,23.9,107.7
424,28,8.3,0,0.12,22.17,4.25,24.4,107.7
425,29,0,1,0.11,22.45,4.31,22.5,107.7
426,1,10,0,0.1,22.49,4.08,21.1,107.7
427,2,11.1,0,0.19,22.46,3.71,25.6,107.7
428,3,7.8,0,0.28,21.99,4.72,26.1,107.7
429,4,8.9,0,0.67,5.71,3.73,23.3,108
430,5,10,1,0.8,6.52,2.67,25.6,110.5
431,6,10,0,0.86,3.69,3.4,22.2,110.5
432,7,10.6,0,0.7,13.37,4.52,22.8,110.8
433,8,8.9,0,0.54,22.98,4.58,25,113.4
434,9,8.3,0,0.5,22.52,3.04,24.4,113.4
435,10,8.9,0,0.44,18.06,3.84,25.6,113.4
